date_time,year,jd,latitude,longitude,wind_max,hur_bear,hur_spd,site_bear,site_range,rmw,s_par,wind_dir,wind_spd,gust_spd,ef_sca
1935-09-02T00:00,1935,245,23.7,-78.5,46.3,270.112546145698,2.63804184699355,142.944533108717,285.732071511011,75,1.3,12.9445331087173,23.3107370426312,34.9661055639468,0
1935-09-02T01:00,1935,245.041666666667,23.7,-78.5833333333333,47.5833333333333,270.108526590081,2.54382618059539,144.338437270834,280.787455828712,75,1.3,14.3384372708339,24.199539382892,36.299309074338,0
1935-09-02T02:00,1935,245.083333333333,23.7,-78.6666666666667,48.8666666666667,270.104507034464,2.44961051419724,145.780824195549,276.010565133903,75,1.3,15.7808241955486,25.0971219142093,37.645682871314,0
1935-09-02T03:00,1935,245.125,23.7,-78.75,50.15,270.100487478847,2.35539484779908,147.272445562193,271.410257396025,75,1.3,17.2724455621929,26.0023691967423,39.0035537951135,1
1935-09-02T04:00,1935,245.166666666667,23.7,-78.8333333333333,51.4333333333333,270.100487478847,2.35539484779908,148.813845255051,266.995662036888,75,1.3,18.8138452550512,26.9104028661967,40.3656042992951,1
1935-09-02T05:00,1935,245.208333333333,23.7,-78.9166666666667,52.7166666666667,272.565648386337,2.36632443367471,150.405322965729,262.77614070983,75,1.3,20.4053229657289,27.8098494081202,41.7147741121803,1
1935-09-02T06:00,1935,245.25,23.7,-79,54,275.030809293828,2.37725401955034,152.046896328575,258.761238185804,75,1.3,22.0468963285753,28.7134439374788,43.0701659062182,1
1935-09-02T07:00,1935,245.291666666667,23.7166666666667,-79.0833333333333,55.2833333333333,277.495970201318,2.38818360542597,153.555889491627,253.294408022173,75,1.3,23.5558894916271,29.7189924017533,44.57848860263,1
1935-09-02T08:00,1935,245.333333333333,23.7333333333333,-79.1666666666667,56.5666666666667,279.961131108808,2.3991131913016,155.129344059803,248.007125233104,75,1.3,25.1293440598032,30.7370741192214,46.1056111788321,1
1935-09-02T09:00,1935,245.375,23.75,-79.25,57.85,282.426292016298,2.41004277717723,156.769089776221,242.911001682772,75,1.3,26.7690897762214,31.7661995441712,47.6492993162569,1
1935-09-02T10:00,1935,245.416666666667,23.7666666666667,-79.3333333333333,59.1333333333333,282.426292016298,2.41004277717723,158.476690805462,238.018201008306,75,1.3,28.4766908054619,32.8218573078084,49.2327859617126,2
1935-09-02T11:00,1935,245.458333333333,23.7833333333333,-79.4166666666667,60.4166666666667,286.61848684533,2.49047974716754,160.253373053301,233.341395910739,75,1.3,30.2533730533008,33.8524057120468,50.7786085680701,2
1935-09-02T12:00,1935,245.5,23.8,-79.5,61.7,290.810681674363,2.57091671715784,162.099944413731,228.893706344382,75,1.3,32.0999444137313,34.8856722694571,52.3285084041856,2
1935-09-02T13:00,1935,245.541666666667,23.85,-79.5833333333333,62.9833333333333,295.002876503395,2.65135368714815,163.756483765425,221.125413075823,75,1.3,33.7564837654249,36.2005779609321,54.3008669413981,2
1935-09-02T14:00,1935,245.583333333333,23.9,-79.6666666666667,64.2666666666667,299.195071332427,2.73179065713845,165.529962769844,213.551925858385,75,1.3,35.5299627698439,37.5455845198141,56.3183767797211,2
1935-09-02T15:00,1935,245.625,23.95,-79.75,65.55,303.387266161459,2.81222762712876,167.429753707691,206.194308908328,75,1.3,37.4297537076913,38.9185612001078,58.3778418001617,2
1935-09-02T16:00,1935,245.666666666667,24,-79.8333333333333,66.8333333333333,303.387266161459,2.81222762712876,169.465539940172,199.0760805089,75,1.3,39.465539940172,40.369669967658,60.5545049514871,3
1935-09-02T17:00,1935,245.708333333333,24.05,-79.9166666666667,68.1166666666667,306.263395937758,2.94574004305841,171.647109361664,192.223402670654,75,1.3,41.6471093616643,41.8031192989213,62.704678948382,3
1935-09-02T18:00,1935,245.75,24.1,-80,69.4,309.139525714057,3.07925245898805,173.984056014887,185.665230304032,75,1.3,43.9840560148875,43.2543599082745,64.8815398624117,3
1935-09-02T19:00,1935,245.791666666667,24.1833333333333,-80.0833333333333,71.55,312.015655490355,3.2127648749177,176.412288167984,175.736149507004,75,1.3,46.4122881679839,45.6831874897198,68.5247812345797,3
